,0,1,2
319,-1040,29,23
320,-1035,23,20
321,-1039,27,22
322,-1041,27,25
323,-1036,22,25
324,-1038,17,30
325,-1039,23,27
326,-1034,21,25
327,-1029,22,24
328,-1031,19,26
329,-1028,21,33
330,-1027,21,27
331,-1030,20,29
332,-1033,21,30
333,-1031,21,28
334,-1030,22,28
335,-1029,20,28
336,-1033,27,28
337,-1035,26,29
338,-1034,25,31
339,-1033,25,27
340,-1036,24,28
341,-1035,23,25
342,-1034,22,28
343,-1030,23,23
344,-1031,23,26
345,-1035,29,20
346,-1032,26,23
347,-1030,23,23
348,-1032,24,22
349,-1032,25,24
350,-1033,23,20
351,-1032,24,20
352,-1031,23,21
353,-1033,20,24
354,-1035,23,26
355,-1035,25,27
356,-1037,22,26
357,-1037,23,27
358,-1038,25,24
359,-1039,21,26
360,-1037,22,22
361,-1037,22,26
362,-1034,28,24
363,-1033,27,31
364,-1034,23,27
365,-1032,26,32
366,-1028,27,30
367,-1029,23,18
368,-1028,24,-2
369,-1027,21,-6
370,-1033,20,23
371,-1033,17,60
372,-1036,14,76
373,-1042,16,50
374,-1042,16,22
375,-1040,19,9
376,-1031,22,17
377,-1022,21,33
378,-1023,18,33
379,-1029,22,20
380,-1031,22,14
381,-1032,26,16
382,-1032,26,22
383,-1028,24,17
384,-1029,25,18
385,-1023,24,15
386,-1025,22,25
387,-1024,25,30
388,-1028,26,31
389,-1033,23,31
390,-1039,22,27
391,-1042,28,24
392,-1044,29,20
393,-1044,24,21
394,-1045,27,19
395,-1042,23,22
396,-1043,24,30
397,-1042,22,26
398,-1044,20,27
399,-1043,21,25
400,-1040,20,27
401,-1039,19,24
402,-1037,23,22
403,-1032,21,20
404,-1032,23,19
405,-1032,22,22
406,-1031,17,22
407,-1030,20,23
408,-1028,17,23
409,-1030,21,25
410,-1028,21,32
411,-1029,20,25
412,-1028,23,28
413,-1026,24,26
414,-1030,23,25
415,-1029,19,24
416,-1033,23,27
417,-1031,24,24
418,-1033,24,23
419,-1035,23,28
420,-1034,24,28
421,-1036,25,26
422,-1039,27,27
423,-1038,26,28
424,-1040,26,25
425,-1037,29,29
426,-1039,29,25
427,-1039,23,25
428,-1035,27,26
429,-1038,24,20
430,-1038,25,19
431,-1038,23,5
432,-1040,17,24
433,-1039,27,55
434,-1042,25,54
435,-1042,23,31
436,-1041,19,11
437,-1033,24,4
438,-1025,21,7
439,-1023,18,20
440,-1026,15,28
441,-1028,21,21
442,-1033,17,19
443,-1032,16,24
444,-1032,18,28
445,-1033,23,21
446,-1034,20,18
447,-1029,22,22
448,-1027,24,19
449,-1030,27,27
450,-1026,25,27
451,-1033,25,25
452,-1039,23,29
453,-1040,26,27
454,-1036,27,31
455,-1037,27,26
456,-1039,21,24
457,-1041,24,30
458,-1042,20,21
459,-1043,20,22
460,-1042,21,22
461,-1042,20,27
462,-1042,22,25
463,-1042,17,29
464,-1039,19,28
465,-1034,20,26
466,-1035,22,26
467,-1035,20,25
468,-1036,23,21
469,-1031,21,23
470,-1029,17,22
471,-1032,22,23
472,-1031,20,20
473,-1030,20,19
474,-1031,24,20
475,-1030,24,21
476,-1029,22,17
477,-1032,22,26
478,-1030,24,21
479,-1032,20,25
480,-1029,23,22
481,-1034,22,21
482,-1033,24,21
483,-1034,24,19
484,-1036,23,25
485,-1033,29,20
486,-1034,26,23
487,-1034,27,21
488,-1033,27,21
489,-1033,28,25
490,-1035,23,25
491,-1034,27,25
492,-1037,24,26
493,-1035,27,24
494,-1035,28,20
495,-1035,23,21
496,-1034,24,27
497,-1035,24,22
498,-1032,22,25
499,-1030,26,24
500,-1032,25,24
501,-1032,24,23
502,-1032,22,20
503,-1031,22,23
504,-1032,23,24
505,-1031,22,24
506,-1032,24,25
507,-1034,22,26
508,-1036,22,22
509,-1031,25,22
510,-1034,24,25
511,-1035,20,20
512,-1032,23,23
513,-1037,26,26
514,-1037,24,25
515,-1029,22,20
516,-1034,21,22
517,-1032,23,20
518,-1033,27,24
519,-1033,21,25
520,-1032,18,27
521,-1033,20,27
522,-1032,21,23
523,-1032,25,21
524,-1030,21,22
525,-1035,23,23
526,-1035,23,22
527,-1031,21,22
528,-1035,23,24
529,-1033,20,28
530,-1033,22,23
531,-1038,25,25
532,-1032,22,26
533,-1035,24,30
534,-1032,24,27
535,-1037,19,27
536,-1034,22,27
537,-1031,21,22
538,-1032,22,23
539,-1033,22,27
540,-1036,17,27
541,-1032,23,22
542,-1031,21,28
543,-1031,20,20
544,-1033,22,24
545,-1035,23,21
546,-1033,20,22
547,-1032,25,23
548,-1032,24,22
549,-1032,20,27
550,-1033,21,27
551,-1030,22,23
552,-1037,22,22
553,-1034,24,25
554,-1036,21,20
555,-1039,22,27
556,-1035,23,21
557,-1027,22,27
558,-1029,28,26
559,-1028,25,26
560,-1022,27,25
561,-1023,28,9
562,-1027,23,-5
563,-1026,26,-1
564,-1026,23,35
565,-1027,19,72
566,-1035,18,73
567,-1042,15,42
568,-1045,14,9
569,-1036,16,7
570,-1028,21,24
571,-1027,21,47
572,-1026,17,41
573,-1028,24,18
574,-1028,23,8
575,-1025,24,5
576,-1026,28,17
577,-1021,24,20
578,-1026,24,19
579,-1026,19,23
580,-1027,20,25
581,-1032,21,25
582,-1034,21,32
583,-1035,24,27
584,-1036,20,24
585,-1042,24,21
586,-1040,26,18
587,-1039,25,22
588,-1039,23,22
589,-1038,24,24
590,-1039,23,28
591,-1039,25,27
592,-1041,23,28
593,-1036,19,26
594,-1038,23,24
595,-1036,22,23
596,-1033,22,24
597,-1031,22,21
598,-1035,22,23
599,-1028,19,25
600,-1029,21,25
601,-1028,20,21
602,-1025,18,22
603,-1028,22,27
604,-1027,22,21
605,-1028,20,24
606,-1027,18,27
607,-1029,23,29
608,-1028,22,26
609,-1025,20,21
610,-1030,22,21
611,-1029,24,20
612,-1028,24,27
613,-1030,27,28
614,-1032,28,28
615,-1032,24,27
616,-1033,26,27
617,-1036,27,31
618,-1037,27,30
619,-1035,28,31
620,-1034,26,29
621,-1036,29,30
622,-1037,28,24
623,-1034,24,23
624,-1034,21,18
625,-1040,18,4
626,-1038,22,18
627,-1034,26,52
628,-1040,26,53
629,-1042,20,35
630,-1042,24,19
631,-1036,24,5
632,-1032,25,8
633,-1029,23,21
634,-1026,18,25
635,-1026,19,25
636,-1028,22,21
637,-1031,23,23
638,-1032,20,33
639,-1031,18,30
640,-1035,20,26
641,-1032,20,30
642,-1030,22,24
643,-1029,21,27
644,-1031,21,25
645,-1028,23,27
646,-1033,25,27
647,-1032,22,29
648,-1035,22,34
649,-1033,22,27
650,-1030,22,31
651,-1033,27,27
652,-1032,24,22
653,-1036,22,22
654,-1038,22,28
655,-1038,24,27
656,-1037,24,26
657,-1038,21,24
658,-1039,25,27
659,-1037,20,30
660,-1035,22,25
661,-1034,24,22
662,-1035,22,25
663,-1035,22,23
664,-1032,19,22
665,-1031,22,23
666,-1032,25,20
667,-1032,22,21
668,-1032,19,22
669,-1034,21,25
670,-1030,21,22
671,-1027,26,24
672,-1027,21,25
673,-1029,20,25
674,-1029,23,26
675,-1033,20,24
676,-1034,20,30
677,-1035,22,24
678,-1034,24,21
679,-1029,25,22
680,-1034,27,22
681,-1033,26,23
682,-1035,25,25
683,-1032,26,29
684,-1037,27,29
685,-1036,24,25
686,-1036,25,24
687,-1036,23,27
688,-1035,26,25
689,-1037,21,30
690,-1036,19,24
