,0
668,-380
669,-385
670,-390
671,-404
672,-432
673,-451
674,-420
675,-387
676,-385
677,-366
678,-345
679,-338
680,-323
681,-304
682,-297
683,-286
684,-271
685,-269
686,-257
687,-241
688,-236
689,-226
690,-215
691,-212
692,-208
693,-193
694,-184
695,-174
696,-156
697,-148
698,-151
699,-141
700,-132
701,-130
702,-134
703,-146
704,-151
705,-141
706,-127
707,-106
708,-85
709,-70
710,-63
711,-66
712,-70
713,-73
714,-68
715,-59
716,-52
717,-56
718,-59
719,-47
720,-35
721,-11
722,92
723,338
724,690
725,862
726,401
727,-453
728,-619
729,-141
730,-35
731,-174
732,-92
733,-30
734,-94
735,-106
736,-82
737,-80
738,-66
739,-42
740,-28
741,-37
742,-87
743,-111
744,-73
745,-49
746,-56
747,-49
748,-49
749,-56
750,-26
751,11
752,28
753,44
754,59
755,47
756,11
757,0
758,7
759,-23
760,-89
761,-146
762,-179
763,-210
764,-231
765,-250
766,-276
767,-295
768,-286
769,-264
770,-243
771,-234
772,-229
773,-222
774,-212
775,-196
776,-177
777,-170
778,-167
779,-165
780,-163
781,-156
782,-144
783,-139
784,-141
785,-132
786,-127
787,-130
788,-125
789,-113
790,-106
791,-101
792,-101
793,-104
794,-89
795,-78
796,-85
797,-85
798,-89
799,-115
800,-115
801,-92
802,-92
803,-94
804,-85
805,-99
806,-120
807,-111
808,-101
809,-104
810,-101
811,-132
812,-184
813,-186
814,-167
815,-172
816,-165
817,-139
818,-137
819,-137
820,-115
821,-125
822,-165
823,-177
824,-174
825,-186
826,-177
827,-163
828,-172
829,-177
830,-182
831,-205
832,-172
833,23
834,397
835,784
836,735
837,-73
838,-827
839,-614
840,-179
841,-217
842,-245
843,-139
844,-151
845,-165
846,-108
847,-92
848,-101
849,-87
850,-70
851,-54
852,-35
853,-18
854,-2
855,16
856,18
857,16
858,42
859,78
860,96
861,101
862,101
863,104
864,118
865,141
866,160
867,158
868,141
869,118
870,94
871,61
872,14
873,-35
874,-89
875,-130
876,-139
877,-139
878,-137
879,-132
880,-141
881,-174
882,-200
883,-193
884,-170
885,-167
886,-182
887,-217
888,-248
889,-250
890,-238
891,-231
892,-226
893,-226
894,-236
895,-245
896,-236
897,-222
898,-217
899,-210
900,-203
901,-196
902,-182
903,-172
904,-177
905,-167
906,-151
907,-158
908,-153
909,-122
910,-122
911,-148
912,-148
913,-156
914,-179
915,-179
916,-167
917,-170
918,-163
919,-160
920,-160
921,-151
922,-148
923,-151
924,-134
925,-115
926,-125
927,-139
928,-122
929,-94
930,-89
931,-108
932,-130
933,-130
934,-113
935,-96
936,-87
937,-80
938,-78
939,-75
940,-28
941,167
942,555
943,936
944,820
945,-49
946,-765
947,-484
948,-61
949,-120
950,-118
951,-2
952,-63
953,-122
954,-52
955,-14
956,-23
957,-14
958,-21
959,-33
960,-4
961,26
962,30
963,14
964,-16
965,-23
966,14
967,35
968,49
969,78
970,94
971,101
972,122
973,137
974,127
975,115
976,101
977,68
978,26
979,-18
980,-66
981,-113
982,-158
983,-198
984,-212
985,-208
986,-196
987,-191
988,-193
989,-191
990,-196
991,-200
992,-189
993,-172
994,-167
995,-174
996,-196
997,-203
998,-191
999,-208
1000,-226
1001,-224
1002,-226
1003,-224
1004,-212
1005,-210
1006,-210
1007,-205
1008,-205
1009,-205
1010,-193
1011,-179
1012,-174
1013,-172
1014,-172
1015,-172
1016,-160
1017,-184
1018,-226
1019,-217
1020,-186
1021,-191
1022,-205
1023,-212
1024,-208
1025,-191
1026,-177
1027,-172
1028,-174
1029,-165
1030,-144
1031,-127
1032,-118
1033,-132
1034,-170
1035,-179
1036,-167
1037,-170
1038,-163
1039,-141
1040,-141
1041,-144
1042,-130
1043,-113
1044,-96
1045,-37
1046,148
1047,508
1048,881
1049,815
1050,16
1051,-695
1052,-465
1053,-63
1054,-139
1055,-189
1056,-70
1057,-61
1058,-89
1059,-59
1060,-44
1061,-44
1062,-21
1063,0
1064,2
1065,-7
1066,-18
1067,-7
1068,18
1069,33
1070,49
1071,59
1072,61
1073,78
1074,108
1075,137
1076,156
1077,160
1078,153
1079,156
1080,163
1081,151
1082,122
1083,61
1084,-37
1085,-104
1086,-139
1087,-205
1088,-250
1089,-260
1090,-290
1091,-314
1092,-293
1093,-271
1094,-264
1095,-250
1096,-243
1097,-245
1098,-231
1099,-208
1100,-198
1101,-191
1102,-200
1103,-243
1104,-278
1105,-260
1106,-234
1107,-238
1108,-236
1109,-226
1110,-226
1111,-217
1112,-198
1113,-191
1114,-189
1115,-179
1116,-174
1117,-170
1118,-172
1119,-184
1120,-186
1121,-170
1122,-165
1123,-163
1124,-148
1125,-134
1126,-132
1127,-125
1128,-115
1129,-113
1130,-104
1131,-92
1132,-89
1133,-82
1134,-78
1135,-82
1136,-80
1137,-56
1138,-42
1139,-35
1140,-21
1141,-18
1142,-26
1143,-30
1144,-40
1145,-37
1146,-26
1147,-23
1148,-30
1149,-47
1150,-87
1151,-111
1152,-35
1153,172
1154,524
1155,858
1156,718
1157,-94
1158,-695
1159,-375
1160,-14
1161,-130
1162,-153
1163,-42
1164,-61
1165,-96
1166,-66
1167,-61
1168,-73
1169,-54
1170,-30
1171,-23
1172,-16
1173,-14
1174,-16
1175,2
1176,30
1177,47
1178,59
1179,33
1180,-7
1181,16
1182,54
1183,49
1184,61
1185,85
1186,68
1187,40
1188,30
1189,0
1190,-59
1191,-118
1192,-179
1193,-231
1194,-252
1195,-264
1196,-276
1197,-281
1198,-290
1199,-293
1200,-271
1201,-250
1202,-236
1203,-222
1204,-219
1205,-219
1206,-200
1207,-177
1208,-165
1209,-158
1210,-160
1211,-165
1212,-158
1213,-144
1214,-156
1215,-196
1216,-219
1217,-208
1218,-196
1219,-186
1220,-170
1221,-163
1222,-165
1223,-160
1224,-156
1225,-146
1226,-127
1227,-115
1228,-118
1229,-113
1230,-104
1231,-99
1232,-89
1233,-80
1234,-80
1235,-78
1236,-73
1237,-68
1238,-59
1239,-54
1240,-54
1241,-42
1242,-35
1243,-42
1244,-44
1245,-44
1246,-61
1247,-68
1248,-68
1249,-104
1250,-134
1251,-111
1252,-96
1253,-115
1254,-115
1255,-111
1256,-113
1257,-106
1258,-94
1259,-87
1260,-73
1261,-63
1262,-9
1263,196
1264,576
1265,924
1266,799
1267,-21
1268,-664
1269,-378
1270,-16
1271,-108
1272,-115
1273,-7
1274,-33
1275,-80
1276,-59
1277,-47
1278,-59
1279,-63
1280,-59
1281,-80
1282,-108
1283,-82
1284,-42
1285,-30
1286,-21
1287,-11
1288,-2
1289,28
1290,63
1291,92
1292,111
1293,122
1294,132
1295,160
1296,172
1297,156
1298,127
1299,85
1300,18
1301,-47
1302,-96
1303,-141
1304,-179
1305,-215
1306,-252
1307,-267
1308,-250
1309,-241
1310,-248
1311,-262
1312,-267
1313,-252
1314,-229
1315,-215
1316,-203
1317,-191
1318,-222
1319,-283
1320,-286
1321,-245
1322,-234
1323,-234
1324,-226
1325,-229
1326,-226
1327,-210
1328,-189
1329,-179
1330,-179
1331,-177
1332,-172
1333,-163
1334,-146
1335,-134
1336,-132
1337,-134
1338,-132
1339,-113
1340,-99
1341,-101
1342,-113
1343,-125
1344,-127
1345,-120
1346,-118
1347,-148
1348,-182
1349,-163
1350,-134
1351,-134
1352,-115
1353,-82
1354,-87
1355,-104
1356,-99
1357,-96
1358,-92
1359,-80
1360,-80
1361,-75
1362,-56
1363,-52
1364,-23
1365,139
1366,475
1367,858
1368,891
1369,172
1370,-657
1371,-569
1372,-96
1373,-80
1374,-139
1375,-37
1376,-37
1377,-73
1378,-35
1379,-9
1380,2
1381,18
1382,14
1383,-9
1384,-14
1385,7
1386,28
1387,42
1388,47
1389,54
1390,73
1391,82
1392,101
1393,127
1394,132
1395,99
1396,82
1397,113
1398,141
1399,139
1400,118
1401,47
1402,-47
1403,-85
1404,-115
1405,-196
1406,-271
1407,-335
1408,-390
1409,-394
1410,-366
1411,-361
1412,-390
1413,-413
1414,-394
1415,-356
1416,-342
1417,-335
1418,-319
1419,-300
1420,-290
1421,-286
1422,-276
1423,-257
1424,-236
1425,-229
1426,-243
1427,-245
1428,-229
1429,-203
1430,-184
1431,-179
1432,-184
1433,-186
1434,-172
1435,-148
1436,-139
1437,-139
1438,-148
1439,-160
1440,-165
1441,-146
1442,-125
1443,-115
1444,-115
1445,-118
1446,-115
1447,-99
1448,-80
1449,-66
1450,-52
1451,-40
1452,-42
1453,-52
1454,-59
1455,-54
1456,-44
1457,-37
1458,-44
1459,-47
1460,-28
1461,-16
1462,4
1463,151
1464,479
1465,867
1466,945
1467,269
1468,-612
1469,-588
1470,-96
1471,-63
1472,-132
1473,-14
1474,0
1475,-33
1476,9
1477,11
1478,-37
1479,-35
1480,-4
1481,7
1482,16
1483,2
1484,-42
1485,-42
1486,-7
1487,7
1488,9
1489,16
1490,30
1491,44
1492,66
1493,89
1494,113
1495,127
1496,125
1497,113
1498,101
1499,85
1500,47
1501,-4
1502,-70
1503,-141
1504,-189
1505,-203
1506,-210
1507,-212
1508,-208
1509,-212
1510,-226
1511,-226
1512,-219
1513,-224
1514,-229
1515,-226
1516,-229
1517,-222
1518,-205
1519,-200
1520,-200
1521,-200
1522,-208
1523,-205
1524,-191
1525,-186
1526,-179
1527,-177
1528,-189
1529,-189
1530,-170
1531,-153
1532,-144
1533,-139
1534,-153
1535,-170
1536,-165
1537,-148
1538,-137
1539,-134
1540,-170
1541,-222
1542,-229
1543,-229
1544,-260
1545,-255
1546,-226
1547,-222
1548,-210
1549,-174
1550,-151
1551,-148
1552,-158
1553,-170
1554,-167
1555,-146
1556,-127
1557,-118
1558,-113
1559,-111
1560,-106
1561,-37
1562,179
1563,555
1564,907
1565,756
1566,-111
1567,-742
1568,-411
1569,-40
1570,-144
1571,-151
1572,-44
1573,-68
1574,-80
1575,-28
1576,-21
1577,-26
1578,-7
1579,0
1580,4
1581,23
1582,35
1583,42
1584,59
1585,68
1586,82
1587,104
1588,120
1589,137
1590,160
1591,177
1592,186
1593,200
1594,203
1595,182
1596,163
1597,148
1598,111
1599,33
1600,-40
1601,-82
1602,-113
1603,-151
1604,-179
1605,-193
1606,-198
1607,-193
1608,-196
1609,-226
1610,-248
1611,-236
1612,-224
1613,-215
1614,-193
1615,-179
1616,-208
1617,-274
1618,-302
1619,-283
1620,-286
1621,-297
1622,-286
1623,-290
1624,-302
1625,-288
1626,-269
1627,-262
1628,-252
1629,-257
1630,-276
1631,-286
1632,-269
1633,-250
1634,-238
1635,-238
1636,-241
1637,-229
1638,-208
1639,-193
1640,-182
1641,-177
1642,-182
1643,-182
1644,-167
1645,-160
1646,-146
1647,-127
1648,-122
1649,-120
1650,-99
1651,-80
1652,-75
1653,-82
1654,-99
1655,-106
1656,-92
1657,-75
1658,-68
1659,-61
1660,-63
1661,-68
1662,-16
1663,167
1664,520
1665,851
1666,685
1667,-141
1668,-713
1669,-366
1670,-2
1671,-118
1672,-139
1673,-30
1674,-56
1675,-113
1676,-85
1677,-59
1678,-63
1679,-54
1680,-40
1681,-33
1682,-11
1683,4
1684,9
1685,16
1686,-2
1687,-37
1688,-18
1689,26
1690,40
1691,59
1692,94
1693,111
1694,115
1695,113
1696,106
1697,106
1698,101
1699,66
1700,18
1701,-30
1702,-85
1703,-130
1704,-158
1705,-198
1706,-229
1707,-229
1708,-224
1709,-219
1710,-203
1711,-191
1712,-191
1713,-184
1714,-174
1715,-165
1716,-151
1717,-141
1718,-144
1719,-146
1720,-141
1721,-137
1722,-127
1723,-120
1724,-125
1725,-132
1726,-146
1727,-177
1728,-196
1729,-191
1730,-205
1731,-229
1732,-229
1733,-215
1734,-208
1735,-198
1736,-193
1737,-200
1738,-205
1739,-196
1740,-198
1741,-231
1742,-241
1743,-229
1744,-231
1745,-224
1746,-203
1747,-189
1748,-179
1749,-172
1750,-179
1751,-177
1752,-163
1753,-141
1754,-118
1755,-118
1756,-167
1757,-200
1758,-182
1759,-184
1760,-208
1761,-203
1762,-200
1763,-200
1764,-177
1765,-151
1766,-141
1767,-137
1768,-118
1769,-16
1770,262
1771,661
1772,851
1773,387
1774,-479
1775,-666
1776,-184
1777,-42
1778,-167
1779,-94
1780,-35
1781,-80
1782,-70
1783,-26
1784,-16
1785,-11
1786,0
1787,9
1788,16
1789,30
1790,37
1791,30
1792,26
1793,44
1794,68
1795,82
1796,104
1797,132
1798,148
1799,165
1800,186
1801,198
1802,210
1803,217
1804,205
1805,184
1806,134
1807,37
1808,-52
1809,-96
1810,-134
1811,-174
1812,-191
1813,-203
1814,-208
1815,-203
1816,-196
1817,-182
1818,-167
1819,-163
1820,-163
1821,-153
1822,-156
1823,-174
1824,-174
1825,-156
1826,-156
1827,-160
1828,-160
1829,-170
1830,-184
1831,-193
1832,-241
1833,-300
1834,-293
1835,-267
1836,-264
1837,-257
1838,-250
1839,-255
1840,-248
1841,-234
