,ECG,TIME
0,0.0,1609287715.591672
1,836.4692993164062,1609287715.649701
2,708.6843872070312,1609287715.64971
3,613.3541870117188,1609287715.649716
4,744.2236328125,1609287715.649722
5,837.7880859375,1609287715.649728
6,705.64453125,1609287715.649734
7,604.2123413085938,1609287715.64974
8,689.2383422851562,1609287715.649746
9,808.9319458007812,1609287715.649752
10,743.32958984375,1609287715.649758
11,614.1588745117188,1609287715.649764
12,682.6445922851562,1609287715.64977
13,834.7482299804688,1609287715.649776
14,797.2420043945312,1609287715.649782
15,679.9400634765625,1609287715.649788
16,715.6804809570312,1609287715.70981
17,890.9628295898438,1609287715.709826
18,900.6188354492188,1609287715.709833
19,782.6016235351562,1609287715.709839
20,770.21875,1609287715.709845
21,921.9200439453125,1609287715.709851
22,974.468994140625,1609287715.709857
23,841.9454956054688,1609287715.709863
24,786.3790283203125,1609287715.709894
25,944.875244140625,1609287715.709901
26,1041.9488525390625,1609287715.709906
27,921.2047729492188,1609287715.709913
28,834.9717407226562,1609287715.709919
29,925.943359375,1609287715.709925
30,1030.7730712890625,1609287715.709931
31,933.63232421875,1609287715.769277
32,828.89208984375,1609287715.769293
33,908.1737060546875,1609287715.7693
34,1044.5640869140625,1609287715.769306
35,989.2658081054688,1609287715.769312
36,843.3089599609375,1609287715.769318
37,903.3680419921875,1609287715.769324
38,1086.65234375,1609287715.76933
39,1034.1033935546875,1609287715.769336
40,860.0504150390625,1609287715.769342
41,886.5372314453125,1609287715.769347
42,1064.2783203125,1609287715.769354
43,1092.5308837890625,1609287715.76936
44,925.33984375,1609287715.769366
45,888.3477172851562,1609287715.769372
46,1072.97314453125,1609287715.829047
47,1104.489013671875,1609287715.829084
48,979.5427856445312,1609287715.82909
49,933.386474609375,1609287715.829096
50,1060.0985107421875,1609287715.829102
51,1150.176025390625,1609287715.829108
52,1055.9857177734375,1609287715.829114
53,931.4418334960938,1609287715.82912
54,1013.7186279296875,1609287715.829126
55,1166.962158203125,1609287715.829132
56,1089.4462890625,1609287715.829138
57,958.4874877929688,1609287715.829144
58,1056.2093505859375,1609287715.82915
59,1205.653076171875,1609287715.829156
