,0
647,-46
648,-36
649,-46
650,-53
651,-55
652,-77
653,-111
654,-121
655,-116
656,-111
657,-102
658,-92
659,-99
660,-97
661,-82
662,-75
663,-80
664,-94
665,-116
666,-124
667,-126
668,-138
669,-141
670,-138
671,-148
672,-155
673,-153
674,-148
675,-141
676,-133
677,-141
678,-148
679,-136
680,-126
681,-136
682,-148
683,-133
684,-114
685,-97
686,-80
687,-70
688,-82
689,-109
690,-121
691,-104
692,-87
693,-90
694,-87
695,-77
696,-82
697,-82
698,-46
699,109
700,506
701,1075
702,1245
703,455
704,-486
705,-418
706,-9
707,-109
708,-218
709,-111
710,-99
711,-133
712,-92
713,-63
714,-72
715,-68
716,-51
717,-41
718,-51
719,-72
720,-80
721,-77
722,-70
723,-63
724,-53
725,-43
726,-38
727,-48
728,-60
729,-58
730,-55
731,-70
732,-82
733,-68
734,-55
735,-58
736,-58
737,-65
738,-85
739,-97
740,-109
741,-138
742,-145
743,-126
744,-121
745,-121
746,-114
747,-109
748,-102
749,-94
750,-94
751,-94
752,-104
753,-121
754,-121
755,-107
756,-97
757,-102
758,-109
759,-109
760,-114
761,-121
762,-124
763,-114
764,-119
765,-133
766,-141
767,-141
768,-143
769,-148
770,-148
771,-126
772,-97
773,-92
774,-92
775,-77
776,-82
777,-102
778,-107
779,-102
780,-99
781,-87
782,-75
783,-77
784,-97
785,-114
786,-58
787,172
788,630
789,1124
790,997
791,21
792,-625
793,-282
794,-14
795,-201
796,-204
797,-94
798,-131
799,-148
800,-92
801,-80
802,-82
803,-63
804,-58
805,-60
806,-43
807,-26
808,-19
809,-14
810,-31
811,-60
812,-51
813,-31
814,-48
815,-85
816,-104
817,-109
818,-109
819,-104
820,-97
821,-90
822,-87
823,-92
824,-102
825,-102
826,-104
827,-114
828,-116
829,-111
830,-107
831,-99
832,-87
833,-77
834,-70
835,-68
836,-72
837,-77
838,-70
839,-65
840,-70
841,-70
842,-70
843,-72
844,-72
845,-72
846,-75
847,-72
848,-77
849,-87
850,-85
851,-77
852,-82
853,-90
854,-92
855,-97
856,-104
857,-107
858,-102
859,-102
860,-102
861,-109
862,-121
863,-111
864,-87
865,-65
866,-48
867,-41
868,-51
869,-63
870,-70
871,-65
872,-55
873,-53
874,-55
875,-55
876,-53
877,-46
878,-9
879,119
880,445
881,946
882,1155
883,476
884,-447
885,-445
886,-41
887,-126
888,-250
889,-128
890,-102
891,-143
892,-107
893,-85
894,-94
895,-77
896,-53
897,-48
898,-41
899,-29
900,-24
901,-14
902,-2
903,9
904,17
905,14
906,4
907,0
908,4
909,2
910,-4
911,-7
912,-14
913,-17
914,-4
915,2
916,-7
917,-21
918,-41
919,-58
920,-58
921,-53
922,-51
923,-46
924,-46
925,-48
926,-46
927,-43
928,-41
929,-38
930,-38
931,-43
932,-46
933,-41
934,-38
935,-46
936,-55
937,-63
938,-65
939,-63
940,-60
941,-63
942,-70
943,-80
944,-92
945,-119
946,-148
947,-153
948,-145
949,-150
950,-153
951,-148
952,-141
953,-136
954,-136
955,-138
956,-158
957,-177
958,-165
959,-153
960,-158
961,-158
962,-155
963,-163
964,-155
965,-131
966,-109
967,-90
968,-75
969,-80
970,-92
971,-99
972,-102
973,-92
974,-80
975,-80
976,-87
977,-90
978,-85
979,-63
980,36
981,316
982,790
983,1109
984,639
